ds,y_pred,yhat_lower,yhat_upper,y_true,cod_mun
2007-01-01,0.0,0.0,1.1822846496281674e-09,0.0,3515657
2007-02-01,0.0,0.0,1.2813437313038318e-09,0.0,3515657
2007-03-01,0.0,0.0,1.339547729290503e-09,0.0,3515657
2007-04-01,0.0,0.0,1.1960182371283232e-09,0.0,3515657
2007-05-01,0.0,0.0,1.3109858539034278e-09,0.0,3515657
2007-06-01,0.0,0.0,1.2092264994275857e-09,0.0,3515657
2007-07-01,0.0,0.0,1.2872145443404327e-09,0.0,3515657
2007-08-01,0.0,0.0,1.2502066101796822e-09,0.0,3515657
2007-09-01,0.0,0.0,1.3475144550176815e-09,0.0,3515657
2007-10-01,0.0,0.0,1.3250191211238678e-09,0.0,3515657
2007-11-01,0.0,0.0,1.2385663268411608e-09,0.0,3515657
2007-12-01,0.0,0.0,1.245017949074097e-09,0.0,3515657
2008-01-01,0.0,0.0,1.3847058646713805e-09,0.0,3515657
2008-02-01,0.0,0.0,1.3590765260526357e-09,0.0,3515657
2008-03-01,0.0,0.0,1.2021983177074776e-09,0.0,3515657
2008-04-01,0.0,0.0,1.233889454590548e-09,0.0,3515657
2008-05-01,0.0,0.0,1.287504899661445e-09,0.0,3515657
2008-06-01,0.0,0.0,1.133737499366959e-09,0.0,3515657
2008-07-01,0.0,0.0,1.2199626496110946e-09,0.0,3515657
2008-08-01,0.0,0.0,1.31437726364416e-09,0.0,3515657
2008-09-01,0.0,0.0,1.208162840981581e-09,0.0,3515657
2008-10-01,0.0,0.0,1.295783357924465e-09,0.0,3515657
2008-11-01,0.0,0.0,1.291964528392505e-09,0.0,3515657
2008-12-01,0.0,0.0,1.3226217164648554e-09,0.0,3515657
2009-01-01,0.0,0.0,1.286311030507481e-09,0.0,3515657
2009-02-01,0.0,0.0,1.3769643587239494e-09,0.0,3515657
2009-03-01,0.0,0.0,1.222984094669752e-09,0.0,3515657
2009-04-01,0.0,0.0,1.3233739980287508e-09,0.0,3515657
2009-05-01,0.0,0.0,1.2953919509552735e-09,0.0,3515657
2009-06-01,0.0,0.0,1.2143763010158146e-09,0.0,3515657
2009-07-01,0.0,0.0,1.331899335226301e-09,0.0,3515657
2009-08-01,0.0,0.0,1.3010129976052132e-09,0.0,3515657
2009-09-01,0.0,0.0,1.2705661784287632e-09,0.0,3515657
2009-10-01,0.0,0.0,1.218031603173544e-09,0.0,3515657
2009-11-01,0.0,0.0,1.2963113858162117e-09,0.0,3515657
2009-12-01,0.0,0.0,1.2694764153460908e-09,0.0,3515657
2010-01-01,0.0,0.0,1.250758471898673e-09,0.0,3515657
2010-02-01,0.0,0.0,1.307161027048541e-09,0.0,3515657
2010-03-01,0.0,0.0,1.2903201102970764e-09,0.0,3515657
2010-04-01,0.0,0.0,1.210053431610855e-09,0.0,3515657
2010-05-01,0.0,0.0,1.2564351631091436e-09,0.0,3515657
2010-06-01,0.0,0.0,1.3696855233066054e-09,0.0,3515657
2010-07-01,0.0,0.0,1.3398177483646876e-09,0.0,3515657
2010-08-01,0.0,0.0,1.2997302709056598e-09,0.0,3515657
2010-09-01,0.0,0.0,1.3187162328093563e-09,0.0,3515657
2010-10-01,0.0,0.0,1.1877161178981717e-09,0.0,3515657
2010-11-01,0.0,0.0,1.2955053376003483e-09,0.0,3515657
2010-12-01,0.0,0.0,1.2951428085254129e-09,0.0,3515657
2011-01-01,0.0,0.0,1.2395401013619513e-09,0.0,3515657
2011-02-01,0.0,0.0,1.3128573353557538e-09,0.0,3515657
2011-03-01,0.0,0.0,1.1693079683338591e-09,0.0,3515657
2011-04-01,0.0,0.0,1.2503883523208673e-09,0.0,3515657
2011-05-01,0.0,0.0,1.2003755845514624e-09,0.0,3515657
2011-06-01,0.0,0.0,1.2435544247451124e-09,0.0,3515657
2011-07-01,0.0,0.0,1.3379977377022666e-09,0.0,3515657
2011-08-01,0.0,0.0,1.3300326790005908e-09,0.0,3515657
2011-09-01,0.0,0.0,1.3032041348375716e-09,0.0,3515657
2011-10-01,0.0,0.0,1.3157551530275347e-09,0.0,3515657
2011-11-01,0.0,0.0,1.4048791049535497e-09,0.0,3515657
2011-12-01,0.0,0.0,1.2628043895016013e-09,0.0,3515657
2012-01-01,0.0,0.0,1.261337499012192e-09,0.0,3515657
2012-02-01,0.0,0.0,1.1532915762969325e-09,0.0,3515657
2012-03-01,0.0,0.0,1.2609732593776066e-09,0.0,3515657
2012-04-01,0.0,0.0,1.201071257086411e-09,0.0,3515657
2012-05-01,0.0,0.0,1.2361718613279976e-09,0.0,3515657
2012-06-01,0.0,0.0,1.2892495636896465e-09,0.0,3515657
2012-07-01,0.0,0.0,1.2805494967630333e-09,0.0,3515657
2012-08-01,0.0,0.0,1.2117399786731044e-09,0.0,3515657
2012-09-01,0.0,0.0,1.3680966901568392e-09,0.0,3515657
2012-10-01,0.0,0.0,1.2825075099923474e-09,0.0,3515657
2012-11-01,0.0,0.0,1.2592326031302754e-09,0.0,3515657
