disease,cod_mun,mae,rmse,r2,n_samples
hepatite,3519501,1.742005453484731,4.071257051197532,0.09843334665690762,300
hepatite,3519600,0.16423141168483799,0.4132379898587595,0.10192707154595171,300
hepatite,3519709,0.1533649661262682,0.38588195880764026,0.31845003759089185,300
hepatite,3519808,1.0962512916855747,3.2972496229738133,0.3179214617794872,300
hepatite,3519907,2.3439165220803475,4.246314235674852,0.16332542161241703,300
hepatite,3520004,0.43695717407665835,1.1847152348317516,0.7050100709959419,300
hepatite,3520103,0.9167400461201171,1.5743755601780005,0.14971051699393811,300
hepatite,3520202,2.41293020021227,4.236785766004979,0.059274674693193585,300
hepatite,3520301,0.40831226508287877,0.8263772779642253,0.0817750379714467,300
hepatite,3520400,0.27682514713405676,0.8774283080502487,0.1445267383198413,300
hepatite,3520426,0.687707340044055,1.7665248830924047,0.1621500500069386,300
hepatite,3520442,1.8230763946001813,2.8407627752200457,0.342954104083783,300
hepatite,3520509,0.16203915559296256,0.2859144965235131,0.20636221372561203,300
hepatite,3520608,0.1794765014754961,1.285301686736336,0.7081222592199135,300
hepatite,3520707,0.9370983164889968,3.349766921297864,0.0969657390725418,300
hepatite,3520806,6.375567570168584,12.692970697740858,0.3652270026891836,300
hepatite,3520905,0.3798928136594023,1.4807716343170134,0.7130758524510385,300
hepatite,3521002,0.2039746947355699,0.635708899436668,0.12001548691032271,300
hepatite,3521101,0.3726946880201738,1.8023217996384,0.2798048820998189,300
hepatite,3521150,0.012992901835991172,0.05115503438892213,0.9993697796573903,300
hepatite,3521200,0.15210405216815562,1.2720163502896278,0.003214065670374855,300
hepatite,3521309,0.8821192381073284,1.8863493765219106,0.1717978678306713,300
hepatite,3521408,0.669089658605523,1.4864342199041316,0.0738438202551791,300
hepatite,3521507,1.2892549076128972,3.5054103795030924,0.18039148365089064,300
hepatite,3521606,1.717578247422174,3.4947990715930644,0.08623699166074739,300
hepatite,3521705,0.773697110872977,1.7082311480717247,0.18279712506967682,300
hepatite,3521804,0.4239530068758295,1.1419979731732766,0.1727696823670778,300
hepatite,3521903,1.4725498298405086,2.5276723274703707,0.08053018746906748,300
hepatite,3522000,0.41892275161124937,2.6094602730065666,0.0003030403241121027,300
hepatite,3522109,0.564887523457625,0.7907577876209072,0.11568329630275298,300
hepatite,3522158,11.404223348248074,16.635053339912815,0.10726596085348261,300
hepatite,3522208,0.2279314376990306,0.3371312553349452,0.23702347741817253,300
hepatite,3522307,0.3426203810628081,0.5447649328279861,0.19069725164559725,300
hepatite,3522406,0.5440481164807663,0.9137308382389487,0.2743405905975461,300
hepatite,3522505,0.09818707923858425,0.19477652626078007,0.3716592223955021,300
hepatite,3522604,0.5030492037455883,0.846374061111701,0.25530843047982843,300
hepatite,3522653,1.6950298590873174,4.376164756074431,0.0980828190786216,300
hepatite,3522703,0.525218679087079,0.9135541084065629,0.13365230898603075,300
hepatite,3522802,0.5606426493910864,1.5509460182662045,0.13843370615222195,300
hepatite,3522901,4.088986738288355,5.6497664546222035,0.20374263462736986,300
hepatite,3523008,4.268114884579443,7.534454763254184,0.10895628076919539,300
hepatite,3523107,0.10217365403565858,0.18006561508239877,0.3863991944378028,300
hepatite,3523206,0.595702818285219,0.9091763627045178,0.08264323810811891,300
hepatite,3523305,0.2495310141490638,0.9050242724542886,0.1604151873959866,300
hepatite,3523404,0.40498985306584556,0.5460837688145177,0.2396009034415868,300
hepatite,3523503,0.5230742808596108,1.217526254417003,0.224225190966166,300
hepatite,3523602,0.6551368833133874,1.6075224303818243,0.06491749346659192,300
hepatite,3523701,2.8803254523562978,5.274202988553185,0.16426893000061715,300
hepatite,3523800,2.162887715820866,3.8276560490983162,0.03576607387121,300
hepatite,3523909,0.2835124857858123,0.4765575638847606,0.43876355318977855,300
hepatite,3524006,0.25545740610472706,0.7864118087626939,0.1302349480997237,300
hepatite,3524105,1.060730676273356,1.3837181967913903,0.17150067447189965,300
hepatite,3524204,7.5507243649375475,14.743990803908,0.651433002268062,300
hepatite,3524303,0.26867063507513456,0.5640487341944015,0.2735756051218303,300
hepatite,3524402,0.29589211972627777,0.5054286859910042,0.3392452733841763,300
hepatite,3524501,4.13013943187795,6.893591360340378,0.1571656771886305,300
hepatite,3524600,0.8167133328644213,1.697925195127523,0.1661817370558185,300
hepatite,3524709,0.6058220644810715,1.3262175868701498,0.4183147669520455,300
hepatite,3524808,0.5919311259965212,0.8468506108850288,0.12441997781991287,300
hepatite,3524907,1.6791079513246683,3.8362536339750277,0.1847878071260507,300
hepatite,3525003,0.2951339304224313,0.5407296849044222,0.3865608221957083,300
hepatite,3525102,0.5943165882689685,1.5467138634965663,0.1900108417295916,300
hepatite,3525201,0.17642435873192128,0.623633625558421,0.006076941516887091,300
hepatite,3525300,0.3327469605536389,0.6139481406744565,0.4330467484362843,300
hepatite,3525409,0.3714396591297219,1.93428245142815,0.39031746294994185,300
hepatite,3525508,1.7165816606284856,3.297699207170911,0.07352797087002294,300
hepatite,3525607,0.7666937142383627,3.4630686933369987,0.003977893829963164,300
hepatite,3525706,0.31365557001466393,0.8025056669696584,0.4569234353813788,300
hepatite,3525805,14.87473264988538,23.559319851802012,0.15984652728376758,300
