disease,cod_mun,mae,rmse,r2,n_train,n_test
TX_hanseniase_00_23,3519808,0.05803462117910385,0.05803462117910385,0.0,251,12
TX_hanseniase_00_23,3519907,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3520004,0.04988198609013731,0.11775302517441723,0.0,251,12
TX_hanseniase_00_23,3520103,0.09458548823992412,0.09619866741185479,0.0,251,12
TX_hanseniase_00_23,3520202,0.0008151040237862617,0.0009754061513497514,0.0,251,12
TX_hanseniase_00_23,3520301,0.10610244423151016,0.10610244423151016,0.0,251,12
TX_hanseniase_00_23,3520400,0.5685534686379198,1.1185631625746018,-0.31724504800020026,251,12
TX_hanseniase_00_23,3520426,0.031135844066739082,0.031135844066739082,0.0,251,12
TX_hanseniase_00_23,3520442,0.06935879867523909,0.0701376511384752,0.0,251,12
TX_hanseniase_00_23,3520509,0.2388306439416494,0.2997351142375157,-0.8028726379215461,251,12
TX_hanseniase_00_23,3520608,0.05467125525077184,0.0752945071179287,0.0,251,12
TX_hanseniase_00_23,3520707,0.32576945920785266,0.3323764608510594,0.0,251,12
TX_hanseniase_00_23,3520806,2.8535448777233796e-06,9.864717981792181e-06,0.0,251,12
TX_hanseniase_00_23,3520905,0.08058000355958939,0.11097765165261056,0.0,251,12
TX_hanseniase_00_23,3521002,0.08192946823934714,0.09276879178120086,0.0,251,12
TX_hanseniase_00_23,3521101,0.05286611057817936,0.052866378309537124,0.0,251,12
TX_hanseniase_00_23,3521150,0.2215281188643227,0.4462042599956496,0.0,251,12
TX_hanseniase_00_23,3521200,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3521309,0.19019666810830435,0.2122849022217648,0.0,251,12
TX_hanseniase_00_23,3521408,0.039911650121212006,0.039911650121212006,0.0,251,12
TX_hanseniase_00_23,3521507,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3521606,0.08519638453920682,0.08519648555149735,0.0,251,12
TX_hanseniase_00_23,3521705,0.02940233164311697,0.08087796794633985,0.0,251,12
TX_hanseniase_00_23,3521804,0.0021604783444975815,0.002194893803759829,0.0,251,12
TX_hanseniase_00_23,3521903,0.06522384202495839,0.21608504678600227,0.0,251,12
TX_hanseniase_00_23,3522000,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3522109,0.04473700402498556,0.0972007555934656,0.0,251,12
TX_hanseniase_00_23,3522158,0.10767751932144165,0.10767751932144165,0.0,251,12
TX_hanseniase_00_23,3522208,0.060078127467205845,0.16365451260682382,-0.04810722850810323,251,12
TX_hanseniase_00_23,3522307,0.04442099699129661,0.04869501816762196,0.0,251,12
TX_hanseniase_00_23,3522406,0.04200948060800632,0.05055329318043664,0.0,251,12
TX_hanseniase_00_23,3522505,0.01585509856280017,0.03282758531829848,0.0,251,12
TX_hanseniase_00_23,3522604,0.16360707398903077,0.3986347511293443,-0.03212940460168934,251,12
TX_hanseniase_00_23,3522653,0.023799617595310945,0.06923480549900665,0.0,251,12
TX_hanseniase_00_23,3522703,0.1470423179368178,0.1503342241815259,0.0,251,12
TX_hanseniase_00_23,3522802,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3522901,1.231513473794826,2.9548811828656603,-0.17218443475034806,251,12
TX_hanseniase_00_23,3523008,0.006211090614669956,0.012138892818104494,0.0,251,12
TX_hanseniase_00_23,3523107,0.05090456900880507,0.09385402103997886,-0.7739060572718326,251,12
TX_hanseniase_00_23,3523206,0.14789897203445435,0.14789897203445435,0.0,251,12
TX_hanseniase_00_23,3523305,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3523404,0.024412186117842793,0.035352119014254925,0.0,251,12
TX_hanseniase_00_23,3523503,0.03536999225616455,0.03536999225616455,0.0,251,12
TX_hanseniase_00_23,3523602,0.004761887714266777,0.004761887714266777,0.0,251,12
TX_hanseniase_00_23,3523701,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3523800,0.5307651295721977,1.8378990963155832,0.0,251,12
TX_hanseniase_00_23,3523909,0.10018621113016352,0.14967735335206883,0.08587075852881743,251,12
TX_hanseniase_00_23,3524006,0.06899428336570661,0.07665821037193726,0.0,251,12
TX_hanseniase_00_23,3524105,0.16841727898766598,0.18881721048019637,0.0,251,12
TX_hanseniase_00_23,3524204,0.04144041863037273,0.12194953882380556,0.0,251,12
TX_hanseniase_00_23,3524303,0.005507162733313938,0.005507775212004408,0.0,251,12
TX_hanseniase_00_23,3524402,0.0950168924749788,0.11466319190987127,-0.08945190829398486,251,12
TX_hanseniase_00_23,3524501,0.2703388906860103,0.7720460878078405,0.0,251,12
TX_hanseniase_00_23,3524600,0.01724587380886078,0.01724587380886078,0.0,251,12
TX_hanseniase_00_23,3524709,0.012717142390708128,0.021539129930448785,0.0,251,12
TX_hanseniase_00_23,3524808,0.058354981864492096,0.05869857714817521,0.0,251,12
TX_hanseniase_00_23,3524907,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3525003,0.1049891460748155,0.2190101103210073,-0.02036367636966263,251,12
TX_hanseniase_00_23,3525102,0.2550675409535567,0.26408291698811326,0.0,251,12
TX_hanseniase_00_23,3525201,0.2711779459214326,0.7039282991298277,-0.05360992780802909,251,12
TX_hanseniase_00_23,3525300,0.1360300285105446,0.21767724856690074,-0.08655156003337017,251,12
TX_hanseniase_00_23,3525409,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3525508,0.004041064685831468,0.004825726964384251,0.0,251,12
TX_hanseniase_00_23,3525607,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3525706,0.41254272983312285,0.7572130550650872,-9.052899855022112e-05,251,12
TX_hanseniase_00_23,3525805,0.0013035195831131812,0.001394710661534199,0.0,251,12
TX_hanseniase_00_23,3525854,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3525904,0.03261199539262422,0.05933460732816037,0.025676660347720537,251,12
TX_hanseniase_00_23,3526001,0.401638666788737,0.40163899071507614,0.0,251,12
TX_hanseniase_00_23,3526100,0.018757956257710855,0.019647647707975155,0.0,251,12
TX_hanseniase_00_23,3526209,0.47342997771920636,0.7601072088026728,0.0,251,12
TX_hanseniase_00_23,3526308,0.07743581384420395,0.07743581384420395,0.0,251,12
TX_hanseniase_00_23,3526407,0.04442908459653457,0.05092545941880661,0.0,251,12
TX_hanseniase_00_23,3526506,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3526605,0.03989568166434765,0.0398966287169192,0.0,251,12
TX_hanseniase_00_23,3526704,0.972246186502621,1.4469883905602758,-0.4123694172242829,251,12
TX_hanseniase_00_23,3526803,0.010804811080258029,0.015996432249086933,0.0,251,12
TX_hanseniase_00_23,3526902,0.06403481401503086,0.06427101805085961,0.0,251,12
TX_hanseniase_00_23,3527009,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3527108,0.12405944234284104,0.38814809337001926,-0.081996752113207,251,12
TX_hanseniase_00_23,3527207,0.056796440932278834,0.13875776639487716,0.0,251,12
TX_hanseniase_00_23,3527256,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3527306,0.07064057979732752,0.08974901532753037,0.0,251,12
TX_hanseniase_00_23,3527405,0.9185077314147189,2.041243482711631,-0.2055287462392168,251,12
TX_hanseniase_00_23,3527504,0.0003804465974705333,0.0005976927828447117,0.0,251,12
TX_hanseniase_00_23,3527603,0.25643615424633026,0.3468891196530373,0.0,251,12
TX_hanseniase_00_23,3527702,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3527801,0.003263438935391605,0.004335123088818807,0.0,251,12
TX_hanseniase_00_23,3527900,0.0016053999521924804,0.0016702888952040194,0.0,251,12
TX_hanseniase_00_23,3528007,0.015065825001026193,0.016045509480340316,0.0,251,12
TX_hanseniase_00_23,3528106,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3528205,0.30265262722969055,0.30265262722969055,0.0,251,12
TX_hanseniase_00_23,3528304,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3528403,0.02180624706670642,0.021806349334340457,0.0,251,12
TX_hanseniase_00_23,3528502,0.04703176518281301,0.05127404002827204,0.0,251,12
TX_hanseniase_00_23,3528601,0.038450755178928375,0.038450755178928375,0.0,251,12
TX_hanseniase_00_23,3528700,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3528809,0.05279032366039852,0.10338475023206735,0.0,251,12
TX_hanseniase_00_23,3528858,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3528908,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3529005,0.03140750558425983,0.0316864940633285,0.0,251,12
TX_hanseniase_00_23,3529104,0.16296207318858555,0.5374024529788454,0.0,251,12
TX_hanseniase_00_23,3529203,0.0,0.0,1.0,251,12
TX_hanseniase_00_23,3529302,0.02379611444969972,0.02522352397666266,0.0,251,12
TX_hanseniase_00_23,3529401,0.014597909447426597,0.014760195589810067,0.0,251,12
TX_hanseniase_00_23,3529500,0.0,0.0,1.0,251,12
